IP	Protocol	Port	Service
179.189.84.168	tcp	179	bgp
179.189.84.168	tcp	2000	cisco-sccp
179.189.84.168	tcp	8081	tproxy
179.189.84.168	tcp	8291	
179.189.84.169	tcp	179	bgp
179.189.84.169	tcp	2000	cisco-sccp
179.189.84.169	tcp	8081	tproxy
179.189.84.169	tcp	8291	
179.189.84.17	tcp	179	bgp
179.189.84.17	tcp	2000	cisco-sccp
179.189.84.17	tcp	8081	tproxy
179.189.84.17	tcp	8291	
179.189.84.170	tcp	179	bgp
179.189.84.170	tcp	2000	cisco-sccp
179.189.84.170	tcp	8081	tproxy
179.189.84.170	tcp	8291	
179.189.84.171	tcp	179	bgp
179.189.84.171	tcp	2000	cisco-sccp
179.189.84.171	tcp	8081	tproxy
179.189.84.171	tcp	8291	
179.189.84.172	tcp	179	bgp
179.189.84.172	tcp	2000	cisco-sccp
179.189.84.172	tcp	8081	tproxy
179.189.84.172	tcp	8291	
179.189.84.173	tcp	179	bgp
179.189.84.173	tcp	2000	cisco-sccp
179.189.84.173	tcp	8081	tproxy
179.189.84.173	tcp	8291	
179.189.84.174	tcp	179	bgp
179.189.84.174	tcp	2000	cisco-sccp
179.189.84.174	tcp	8081	tproxy
179.189.84.174	tcp	8291	
179.189.84.175	tcp	179	bgp
179.189.84.175	tcp	2000	cisco-sccp
179.189.84.175	tcp	8081	tproxy
179.189.84.176	tcp	179	bgp
179.189.84.176	tcp	2000	cisco-sccp
179.189.84.176	tcp	8081	tproxy
179.189.84.176	tcp	8291	
179.189.84.177	tcp	179	bgp
179.189.84.177	tcp	2000	cisco-sccp
179.189.84.177	tcp	8081	tproxy
179.189.84.177	tcp	8291	
179.189.84.178	tcp	179	bgp
179.189.84.178	tcp	2000	cisco-sccp
179.189.84.178	tcp	8081	tproxy
179.189.84.178	tcp	8291	
179.189.84.179	tcp	179	bgp
179.189.84.179	tcp	2000	cisco-sccp
179.189.84.179	tcp	8081	tproxy
179.189.84.179	tcp	8291	
179.189.84.18	tcp	1024	
179.189.84.18	tcp	2000	cisco-sccp
179.189.84.18	tcp	53	domain
179.189.84.18	tcp	554	rtsp
179.189.84.18	tcp	7001	afs3-callback
179.189.84.18	tcp	7002	afs3-prserver
179.189.84.18	tcp	8001	
179.189.84.18	tcp	8002	
179.189.84.18	tcp	8081	tproxy
179.189.84.18	tcp	8291	
179.189.84.180	tcp	554	rtsp
179.189.84.180	tcp	80	http
179.189.84.180	tcp	8000	
179.189.84.180	tcp	8081	tproxy
179.189.84.181	tcp	179	bgp
179.189.84.181	tcp	2000	cisco-sccp
179.189.84.181	tcp	8081	tproxy
179.189.84.181	tcp	8291	
179.189.84.183	tcp	80	http
179.189.84.186	tcp	179	bgp
179.189.84.186	tcp	2000	cisco-sccp
179.189.84.186	tcp	8081	tproxy
179.189.84.186	tcp	8291	
179.189.84.187	tcp	179	bgp
179.189.84.187	tcp	2000	cisco-sccp
179.189.84.187	tcp	8081	tproxy
179.189.84.187	tcp	8291	
179.189.84.188	tcp	80	http
179.189.84.189	tcp	443	https
179.189.84.189	tcp	80	http
179.189.84.190	tcp	8081	tproxy
179.189.84.190	tcp	8291	
179.189.84.191	tcp	80	http
179.189.84.192	tcp	2000	cisco-sccp
179.189.84.192	tcp	8291	
179.189.84.193	tcp	20000	
179.189.84.193	tcp	80	http
179.189.84.194	tcp	29927	
179.189.84.194	tcp	37777	
179.189.84.194	tcp	554	rtsp
179.189.84.194	tcp	80	http
179.189.84.194	tcp	9090	
179.189.84.2	tcp	179	bgp
179.189.84.2	tcp	2000	cisco-sccp
179.189.84.2	tcp	8081	tproxy
179.189.84.2	tcp	8291	
179.189.84.20	tcp	179	bgp
179.189.84.20	tcp	2000	cisco-sccp
179.189.84.20	tcp	8081	tproxy
179.189.84.20	tcp	8291	
179.189.84.200	tcp	80	http
179.189.84.201	tcp	1723	
179.189.84.201	tcp	2000	cisco-sccp
179.189.84.201	tcp	8291	
179.189.84.201	tcp	9090	
179.189.84.202	tcp	554	rtsp
179.189.84.202	tcp	80	http
179.189.84.202	tcp	8000	
179.189.84.203	tcp	179	bgp
179.189.84.203	tcp	2000	cisco-sccp
179.189.84.203	tcp	8081	tproxy
179.189.84.203	tcp	8291	
179.189.84.204	tcp	179	bgp
179.189.84.204	tcp	2000	cisco-sccp
179.189.84.204	tcp	8081	tproxy
179.189.84.204	tcp	8291	
179.189.84.205	tcp	179	bgp
179.189.84.205	tcp	2000	cisco-sccp
179.189.84.205	tcp	8081	tproxy
179.189.84.205	tcp	8291	
179.189.84.206	tcp	179	bgp
179.189.84.206	tcp	2000	cisco-sccp
179.189.84.206	tcp	8081	tproxy
179.189.84.206	tcp	8291	
179.189.84.207	tcp	179	bgp
179.189.84.207	tcp	2000	cisco-sccp
179.189.84.207	tcp	8081	tproxy
179.189.84.207	tcp	8291	
179.189.84.208	tcp	80	http
179.189.84.209	tcp	554	rtsp
179.189.84.209	tcp	8000	
179.189.84.210	tcp	179	bgp
179.189.84.210	tcp	2000	cisco-sccp
179.189.84.210	tcp	8081	tproxy
179.189.84.210	tcp	8291	
179.189.84.211	tcp	2000	cisco-sccp
